drug_set_id,ds_version,plate_date,plate_id,scan_id,format,assay,cell_line_name,cell_id,drug_id,maxConc,maxConcPos,IC_ID,IC_50_EST,IC_50_LOW,IC_50_HIGH,AUC
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1030,10,272,1882216,3.91067,2.916581,5.9515,0.947222
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1032,0.5,320,1882217,1.475975,0.116804,3.906154,0.948989
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1037,5,104,1882218,3.063307,1.38207,8.293872,0.919847
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1038,2,152,1882219,0.413916,-0.219848,1.317668,0.799363
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1039,10,248,1882220,7.267267,4.371783,11.861338,0.998337
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1042,10,344,1882221,5.923996,2.449745,11.799876,0.901941
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1046,2,85,1882222,4.009197,1.949431,8.011111,0.979037
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1047,8,133,1882223,5.924187,3.56365,10.081593,0.985819
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1049,2,181,1882224,-0.21611,-1.289329,2.575868,0.775375
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1050,4,229,1882225,3.105741,2.023513,5.327549,0.949688
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1052,5,277,1882226,4.843565,2.80542,8.737866,0.98212
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1053,4,325,1882227,5.252609,2.876951,9.58143,0.985819
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1054,4,61,1882228,2.888103,1.64614,4.874604,0.885167
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1057,0.25,109,1882229,-1.079942,-1.938626,-0.105344,0.826661
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1058,4,157,1882230,-1.184356,-1.70456,-0.656289,0.72267
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1059,2,253,1882231,1.271862,0.288322,2.488924,0.838297
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1066,5,349,1882232,0.801461,-0.006103,1.809122,0.795231
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1068,10,42,1882233,-2.508734,-3.087833,-1.889712,0.426879
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1072,5,90,1882234,4.235113,2.48704,7.470868,0.938413
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1073,20,296,1882235,3.665521,3.132101,4.647139,0.904199
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1083,1,138,1882236,3.073211,0.811404,7.043979,0.898527
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1089,20,171,1882237,-0.282346,-1.81298,0.649474,0.597901
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1093,5,37,1882238,5.87729,3.270425,10.119906,0.994049
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1114,329,267,1882239,8.845992,6.047604,12.884681,0.948989
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1129,10,234,1882240,3.849778,2.876407,5.672642,0.941673
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1138,10,282,1882241,0.809186,0.355979,1.571072,0.702532
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1194,10,114,1882242,3.102819,2.540414,4.113152,0.919129
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1218,1,306,1882243,-1.213128,-1.473232,-0.93996,0.743669
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1241,10,354,1882244,4.795339,2.703762,8.505252,0.880225
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1242,10,56,1882245,-0.673976,-1.354891,0.433128,0.574689
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1268,5,258,1882246,2.60296,0.76276,4.901376,0.867942
