Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
TFAP2B	7021	3.51823093553456	2.20439665466513	3.3635857343891	3.60269483174414	5.26321178811101	2.20439665466513
DLEC1	9940	5.6597737706608	6.11141494989517	6.03109893117072	5.91497798336102	5.76630312432355	5.73839276016351
CYTH3	9265	8.29338968579977	7.10461822798948	6.41533211941742	7.08108791485885	8.00545480991477	8.15429887054642
ADAM22	53616	3.05210379871314	3.74704194778429	3.15902538125815	3.03227131852234	2.96805980835339	2.20439665466513
SYPL1	6856	6.10178709634885	5.44214632241132	5.53692198292888	5.57793200611625	5.76630312432355	5.26209586377091
CYB561	1534	4.35480818309552	3.74704194778429	4.44940734225704	3.96901012906246	3.76599211788116	3.83020558594204
SPAG9	9043	7.5196345048234	7.64543898713383	7.14925676922609	6.95963521192774	7.74588492706822	8.14958828607324
CELSR3	1951	3.38715415283304	3.20690805475602	3.3635857343891	3.80032984434565	3.13445734268975	2.84661518011193
AASS	10157	6.23372912677588	6.61743115228197	6.56670113926583	6.27747784287876	6.38620002494418	8.37213019622224
PLEKHG6	55200	2.20439665466513	3.20690805475602	2.88546166182359	3.03227131852234	2.96805980835339	2.20439665466513
SS18L2	51188	3.92486093503743	3.42072466449342	2.20439665466513	3.3601629058611	4.22134931262818	4.02397691051039
MPND	84954	6.43888991443038	6.80877970624277	6.96798071189192	6.65867630301212	6.06736868801564	6.31313524860984
MGST1	4257	3.38715415283304	4.20891570601749	5.07464272272299	3.3601629058611	4.8565949376348	2.20439665466513
CRY1	1407	5.37351024146423	5.62424884251666	5.56938378383519	5.2592057178579	4.98542551217554	5.73839276016351
NFIX	4784	5.51084830543357	4.46974039200569	4.29616787642075	4.1170291283317	5.21190434522838	4.47165982153178
ST3GAL1	6482	4.007621593684	4.3018041566118	4.12224844642155	3.3601629058611	4.46837756696937	3.71988016611992
MMP25	64386	3.05210379871314	2.20439665466513	3.15902538125815	3.3601629058611	3.13445734268975	3.10543261539053
IL32	9235	5.34436010109702	5.58965494595948	5.36238146082084	5.47948135335565	4.67638838209482	4.64864898539274
PKD1	5310	6.84113826638531	7.32924665789189	7.1169611563556	6.74528830017272	6.96235857243419	7.96886248259903
MAPK8IP2	23542	3.23553357106303	2.20439665466513	3.80485336382535	3.3601629058611	3.39216893954894	3.29947951962511
MED24	9862	7.88219517679286	7.75784145654785	8.09177709999874	8.25502994641033	7.92532474979747	8.62039776434491
RHOBTB2	23221	4.5780294521258	4.46974039200569	4.21217335548438	3.96901012906246	4.8565949376348	4.19124723543371
HEATR5B	54497	6.10178709634885	5.95778647146862	6.0767588726482	6.1560263563306	6.35148184896676	6.7597879871226
SEC62	7095	6.21788643070096	5.93049425597359	5.66253089951259	5.91497798336102	6.08158347304744	5.78807275893553
RPS20	6224	6.29540343025745	6.6002728763896	7.51405909589514	6.84669351568082	5.994092703834	5.81227692078045
CSDE1	7812	8.89442854833962	8.8078041318208	8.62665519362026	8.87436091800335	9.0059007012099	8.73487541747891
UBE3C	9690	7.52606146721367	6.82363263403729	6.64437398281435	6.63618223643747	7.58129947971396	7.25730304328486
REV3L	5980	6.60624553594807	5.90266960242303	5.56938378383519	6.33454783228728	6.33971973818542	6.47291937383681
FAM76A	199870	3.83595925662444	3.42072466449342	3.15902538125815	2.20439665466513	3.84256846245073	4.02397691051039
TRAF3IP3	80342	4.41425214460053	4.38846350842153	4.65036661687313	5.06782389947349	3.84256846245073	3.29947951962511
POMT2	29954	6.29540343025745	5.81577978561091	6.00770977159793	6.61333032892954	6.40888709680147	6.78434317909862
VTA1	51534	6.20186645810342	5.65801867313642	5.83228106381821	5.79774564614323	5.36051762694468	5.18940921236287
MLXIPL	51085	2.20439665466513	2.20439665466513	4.21217335548438	3.3601629058611	3.27247250464334	3.29947951962511
BAZ1B	9031	6.60624553594807	6.13548760464533	5.9597496541398	5.98809803943551	6.99266249503493	7.09023498113796
RANBP9	10048	6.04899217764263	6.18245065841798	6.00770977159793	5.42755789965926	5.91685129535915	6.17109747645655
ETV7	51513	3.83595925662444	2.20439665466513	2.88546166182359	2.20439665466513	2.74750173979235	2.20439665466513
SPRTN	83932	2.8080630133522	3.59624948756068	3.15902538125815	2.20439665466513	3.39216893954894	3.10543261539053
METTL13	51603	5.05049130475146	5.44214632241132	5.69226837390156	4.92383076462322	5.42931877521128	5.42887210753783
DYRK4	8798	5.22130393488098	5.55419499486714	5.46967345280302	5.87696236794172	4.51265266018137	5.07275194237101
ZNF207	7756	6.16927836668863	5.78559698972999	5.72139581861441	5.66998030351296	6.13707005009247	6.07458709759918
UQCRC1	7384	9.36476584670297	9.06343413536974	9.58060822321987	9.39248718001873	9.11482471851433	9.26118831144334
STARD3NL	83930	7.29719010370223	7.09241165687541	7.40241840790558	7.08108791485885	7.02966640281694	7.08035961591786
CD9	928	9.06293098005517	8.78146145069123	8.85573575128762	9.32391622639287	9.26805920751768	9.79966432843153
HHATL	57467	3.23553357106303	2.20439665466513	2.20439665466513	3.03227131852234	2.20439665466513	3.45950805503529
NCAPD2	9918	7.39875917168127	7.39032868987435	7.37537844810524	7.238539232808	8.17343580820905	7.52084306516447
IFFO1	25900	6.77784981079439	6.85288600877853	6.8418682893825	7.22354669288689	6.69376728018924	7.54257293428968
GIPR	2696	3.05210379871314	2.20439665466513	3.15902538125815	3.60269483174414	2.20439665466513	2.20439665466513
PHF7	51533	5.56225017126452	5.32042215366359	4.37503265632348	4.1170291283317	5.69391423632966	5.52021582135488
SEMA3G	56920	4.15810203211784	4.54631089152221	4.71118179674233	5.13457782356028	5.07473155840939	3.59756164266865
NISCH	11188	7.22789782928751	7.69468859765773	6.93129414350593	7.38045880281009	7.42907104005351	8.29318068692219
STAB1	23166	8.73444350190044	10.4490666560489	9.82653355763269	10.0398362897745	9.73554231057464	8.21868054007239
FUZ	80199	5.9371610357541	5.58965494595948	5.83228106381821	5.75642019879956	5.31270730086054	5.81227692078045
SLC6A13	6540	3.05210379871314	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513
IDS	3423	3.73973916802447	3.59624948756068	3.15902538125815	3.3601629058611	3.6839239310241	4.02397691051039
PRSS3	5645	3.05210379871314	2.20439665466513	2.88546166182359	2.20439665466513	2.74750173979235	2.20439665466513
ZNF200	7752	3.05210379871314	3.20690805475602	3.15902538125815	3.03227131852234	3.27247250464334	2.20439665466513
CD4	920	4.22707930410932	5.72323924567708	4.65036661687313	5.83790475916426	4.92251584091752	3.29947951962511
LRRC23	10233	4.5256485939248	4.20891570601749	3.53188173718512	3.60269483174414	3.91444717323682	3.71988016611992
BTK	695	3.83595925662444	6.08693008541183	4.02536812991994	6.5181029503981	4.78734447800054	3.93099723770223
HFE	3077	2.8080630133522	2.20439665466513	2.20439665466513	2.20439665466513	2.96805980835339	3.29947951962511
SCMH1	22955	5.79454074076972	5.51782364664395	5.56938378383519	5.62470307807688	5.86841526323376	6.44235498484374
FYN	2534	7.06965104069232	6.37658087655683	6.34256491603352	6.56650592722335	6.80045281274797	6.26150775070668
HIVEP2	3097	4.007621593684	2.20439665466513	3.15902538125815	3.3601629058611	3.76599211788116	2.84661518011193
FMO1	2326	4.81314112093738	3.42072466449342	3.67675151376175	5.62470307807688	4.5555007898251	2.84661518011193
